window_id,split,lake_name,target_datetime,length,window_days,target_raw,target_transformed,ice_prev_m,ice_prev_gap_days,Air_Temperature_celsius,ice_prev_available,coeff_shape
train_000070,train,【Huo】Lake Hnagzhang,2021-02-10 00:00:00,46,45,0.356000006198883,0.35600000619888306,0.354000002145767,1.0,-1.35492553710935,1.0,"(1, 45, 52)"
train_000071,train,【Huo】Lake Hnagzhang,2021-02-11 00:00:00,46,45,0.356000006198883,0.35600000619888306,0.356000006198883,1.0,-0.130682373046852,1.0,"(1, 45, 52)"
train_000072,train,【Huo】Lake Hnagzhang,2021-02-12 00:00:00,46,45,0.354000002145767,0.3540000021457672,0.356000006198883,1.0,1.31557617187502,1.0,"(1, 45, 52)"
train_000073,train,【Huo】Lake Hnagzhang,2021-02-13 00:00:00,46,45,0.349999994039535,0.3499999940395355,0.354000002145767,1.0,1.92666015625002,1.0,"(1, 45, 52)"
train_000074,train,【Huo】Lake Hnagzhang,2021-02-14 00:00:00,46,45,0.349999994039535,0.3499999940395355,0.349999994039535,1.0,-1.93253173828122,1.0,"(1, 45, 52)"
train_000075,train,【Huo】Lake Hnagzhang,2021-02-15 00:00:00,46,45,0.345999985933303,0.34599998593330383,0.349999994039535,1.0,-8.0582336425781,1.0,"(1, 45, 52)"
train_000076,train,【Huo】Lake Hnagzhang,2021-02-16 00:00:00,46,45,0.342000007629394,0.34200000762939453,0.345999985933303,1.0,-8.0654357910156,1.0,"(1, 45, 52)"
train_000077,train,【Huo】Lake Hnagzhang,2021-02-17 00:00:00,46,45,0.345999985933303,0.34599998593330383,0.342000007629394,1.0,-12.0080932617187,1.0,"(1, 45, 52)"
train_000078,train,【Huo】Lake Hnagzhang,2021-02-18 00:00:00,46,45,0.342000007629394,0.34200000762939453,0.345999985933303,1.0,-8.90082397460935,1.0,"(1, 45, 52)"
train_000079,train,【Huo】Lake Hnagzhang,2021-02-19 00:00:00,46,45,0.34400001168251,0.3440000116825104,0.342000007629394,1.0,0.876794433593772,1.0,"(1, 45, 52)"
train_000080,train,【Huo】Lake Hnagzhang,2021-02-20 00:00:00,46,45,0.331999987363815,0.3319999873638153,0.34400001168251,1.0,-0.538488769531227,1.0,"(1, 45, 52)"
train_000081,train,【Huo】Lake Hnagzhang,2021-02-21 00:00:00,46,45,0.331999987363815,0.3319999873638153,0.331999987363815,1.0,1.05181274414064,1.0,"(1, 45, 52)"
train_000082,train,【Huo】Lake Hnagzhang,2021-02-22 00:00:00,46,45,0.32600000500679,0.32600000500679016,0.331999987363815,1.0,-1.78476562499997,1.0,"(1, 45, 52)"
train_000083,train,【Huo】Lake Hnagzhang,2021-02-23 00:00:00,46,45,0.319999992847442,0.3199999928474426,0.32600000500679,1.0,-6.2956604003906,1.0,"(1, 45, 52)"
train_000084,train,【Huo】Lake Hnagzhang,2021-02-24 00:00:00,46,45,0.303999990224838,0.30399999022483826,0.319999992847442,1.0,-4.65131225585935,1.0,"(1, 45, 52)"
train_000085,train,【Huo】Lake Hnagzhang,2021-02-25 00:00:00,46,45,0.301999986171722,0.3019999861717224,0.303999990224838,1.0,-3.1228088378906,1.0,"(1, 45, 52)"
train_000086,train,【Huo】Lake Hnagzhang,2021-02-26 00:00:00,46,45,0.300000011920928,0.30000001192092896,0.301999986171722,1.0,-3.63089599609372,1.0,"(1, 45, 52)"
train_000087,train,【Huo】Lake Hnagzhang,2021-02-27 00:00:00,46,45,0.287999987602233,0.2879999876022339,0.300000011920928,1.0,0.371270751953147,1.0,"(1, 45, 52)"
train_000088,train,【Huo】Lake Hnagzhang,2021-02-28 00:00:00,46,45,0.277999997138977,0.27799999713897705,0.287999987602233,1.0,2.46962890625002,1.0,"(1, 45, 52)"
train_000089,train,【Huo】Lake Ulansu,2022-02-14 00:00:00,2,45,0.45772299170494,0.4577229917049408,0.453191012144088,1.0,-19.5461029052734,1.0,"(1, 1, 52)"
train_000090,train,【Huo】Lake Ulansu,2022-02-15 00:00:00,3,45,0.470705986022949,0.4707059860229492,0.45772299170494,1.0,-17.1515563964843,1.0,"(1, 2, 52)"
train_000091,train,【Huo】Lake Ulansu,2022-02-16 00:00:00,4,45,0.471183001995086,0.47118300199508667,0.470705986022949,1.0,-17.0316833496093,1.0,"(1, 3, 52)"
train_000092,train,【Huo】Lake Ulansu,2022-02-17 00:00:00,5,45,0.473057985305786,0.47305798530578613,0.471183001995086,1.0,-9.79355468749997,1.0,"(1, 4, 52)"
train_000093,train,【Huo】Lake Ulansu,2022-02-18 00:00:00,6,45,0.474611014127731,0.4746110141277313,0.473057985305786,1.0,-13.4845947265624,1.0,"(1, 5, 52)"
train_000094,train,【Huo】Lake Ulansu,2022-02-19 00:00:00,7,45,0.473951995372772,0.4739519953727722,0.474611014127731,1.0,-17.3621582031249,1.0,"(1, 6, 52)"
train_000095,train,【Huo】Lake Ulansu,2022-02-20 00:00:00,8,45,0.479059994220733,0.47905999422073364,0.473951995372772,1.0,-15.9740356445312,1.0,"(1, 7, 52)"
train_000096,train,【Huo】Lake Ulansu,2022-02-21 00:00:00,9,45,0.478278011083602,0.4782780110836029,0.479059994220733,1.0,-17.0299133300781,1.0,"(1, 8, 52)"
train_000097,train,【Huo】Lake Ulansu,2022-02-22 00:00:00,10,45,0.48039498925209,0.48039498925209045,0.478278011083602,1.0,-18.6575225830077,1.0,"(1, 9, 52)"
train_000098,train,【Huo】Lake Ulansu,2022-02-23 00:00:00,11,45,0.476859986782074,0.476859986782074,0.48039498925209,1.0,-13.7711853027343,1.0,"(1, 10, 52)"
train_000099,train,【Huo】Lake Ulansu,2022-02-24 00:00:00,12,45,0.471803992986679,0.4718039929866791,0.476859986782074,1.0,-13.5215820312499,1.0,"(1, 11, 52)"
train_000100,train,【Huo】Lake Ulansu,2022-02-25 00:00:00,13,45,0.460696995258331,0.4606969952583313,0.471803992986679,1.0,-9.87222900390622,1.0,"(1, 12, 52)"
train_000101,train,【Huo】Lake Ulansu,2022-02-26 00:00:00,14,45,0.443906992673873,0.4439069926738739,0.460696995258331,1.0,-9.81833496093747,1.0,"(1, 13, 52)"
train_000102,train,【Huo】Lake Ulansu,2022-02-27 00:00:00,15,45,0.432226985692977,0.4322269856929779,0.443906992673873,1.0,-8.79178466796872,1.0,"(1, 14, 52)"
train_000103,train,【Huo】Lake Ulansu,2022-02-28 00:00:00,16,45,0.419450998306274,0.4194509983062744,0.432226985692977,1.0,-4.28098144531247,1.0,"(1, 15, 52)"
train_000104,train,【Huo】Lake Ulansu,2022-03-01 00:00:00,17,45,0.384988993406295,0.3849889934062958,0.419450998306274,1.0,-10.4699157714843,1.0,"(1, 16, 52)"
train_000105,train,【Huo】Lake Ulansu,2022-03-02 00:00:00,18,45,0.374172002077102,0.37417200207710266,0.384988993406295,1.0,-8.99494018554685,1.0,"(1, 17, 52)"
train_000106,train,【Huo】Lake Ulansu,2022-03-03 00:00:00,19,45,0.363440990447998,0.36344099044799805,0.374172002077102,1.0,-6.47800292968747,1.0,"(1, 18, 52)"
train_000107,train,【Huo】Lake Ulansu,2022-03-04 00:00:00,20,45,0.3539400100708,0.3539400100708008,0.363440990447998,1.0,-6.3316711425781,1.0,"(1, 19, 52)"
train_000108,train,【Huo】Lake Ulansu,2022-03-05 00:00:00,21,45,0.337866991758346,0.33786699175834656,0.3539400100708,1.0,-7.83487548828122,1.0,"(1, 20, 52)"
train_000109,train,【Huo】Lake Ulansu,2022-03-06 00:00:00,22,45,0.319115996360778,0.3191159963607788,0.337866991758346,1.0,-6.15659179687497,1.0,"(1, 21, 52)"
train_000110,train,【Huo】Lake Ulansu,2022-03-07 00:00:00,23,45,0.310241997241973,0.3102419972419739,0.319115996360778,1.0,-5.5766662597656,1.0,"(1, 22, 52)"
train_000111,train,【Huo】Lake Ulansu,2022-03-08 00:00:00,24,45,0.286267012357711,0.2862670123577118,0.310241997241973,1.0,-2.60825195312497,1.0,"(1, 23, 52)"
train_000112,train,【Huo】Lake Ulansu,2022-03-09 00:00:00,25,45,0.277218997478485,0.2772189974784851,0.286267012357711,1.0,0.186608886718772,1.0,"(1, 24, 52)"
train_000113,train,【Huo】Lake Ulansu,2022-03-10 00:00:00,26,45,0.254379987716674,0.2543799877166748,0.277218997478485,1.0,-1.4339660644531,1.0,"(1, 25, 52)"
train_000114,train,【Huo】Lake Ulansu,2022-03-11 00:00:00,27,45,0.228837996721267,0.2288379967212677,0.254379987716674,1.0,6.71862182617189,1.0,"(1, 26, 52)"
train_000115,train,【Huo】Lake Ulansu,2022-03-12 00:00:00,28,45,0.220779001712799,0.22077900171279907,0.228837996721267,1.0,3.03130493164064,1.0,"(1, 27, 52)"
train_000116,train,【Huo】Lake Ulansu,2022-03-13 00:00:00,29,45,0.192498996853828,0.19249899685382843,0.220779001712799,1.0,2.89254150390627,1.0,"(1, 28, 52)"
train_000117,train,【Huo】Lake Ulansu,2022-03-14 00:00:00,30,45,0.183661997318267,0.18366199731826782,0.192498996853828,1.0,1.35234985351564,1.0,"(1, 29, 52)"
train_000118,train,【Huo】Lake Ulansu,2022-03-15 00:00:00,31,45,0.114904001355171,0.1149040013551712,0.183661997318267,1.0,3.79070434570314,1.0,"(1, 30, 52)"
train_000119,train,【Huo】Lake Ulansu,2022-03-16 00:00:00,32,45,0.0938870012760162,0.09388700127601624,0.114904001355171,1.0,0.464807128906272,1.0,"(1, 31, 52)"
train_000120,train,【Huo】Lake Ulansu,2022-03-17 00:00:00,33,45,0.0690020024776458,0.06900200247764587,0.0938870012760162,1.0,1.41546020507814,1.0,"(1, 32, 52)"
train_000121,train,【Huo】Lake Ulansu,2022-11-21 00:00:00,2,45,0.0,0.0,0.0,1.0,-5.77652587890622,1.0,"(1, 1, 52)"
train_000122,train,【Huo】Lake Ulansu,2022-11-22 00:00:00,3,45,0.0,0.0,0.0,1.0,-5.57987060546872,1.0,"(1, 2, 52)"
train_000123,train,【Huo】Lake Ulansu,2022-11-23 00:00:00,4,45,0.0,0.0,0.0,1.0,-5.03705444335935,1.0,"(1, 3, 52)"
train_000124,train,【Huo】Lake Ulansu,2022-11-24 00:00:00,5,45,0.0,0.0,0.0,1.0,-0.426367187499977,1.0,"(1, 4, 52)"
train_000125,train,【Huo】Lake Ulansu,2022-11-25 00:00:00,6,45,0.0,0.0,0.0,1.0,-3.10989990234372,1.0,"(1, 5, 52)"
train_000126,train,【Huo】Lake Ulansu,2022-11-26 00:00:00,7,45,0.0,0.0,0.0,1.0,-8.8031066894531,1.0,"(1, 6, 52)"
train_000127,train,【Huo】Lake Ulansu,2022-11-27 00:00:00,8,45,0.0,0.0,0.0,1.0,-4.2231506347656,1.0,"(1, 7, 52)"
train_000128,train,【Huo】Lake Ulansu,2022-11-28 00:00:00,9,45,0.0,0.0,0.0,1.0,-7.47287597656247,1.0,"(1, 8, 52)"
train_000129,train,【Huo】Lake Ulansu,2022-11-29 00:00:00,10,45,0.032210998237133,0.032210998237133026,0.0,1.0,-20.4536651611327,1.0,"(1, 9, 52)"
train_000130,train,【Huo】Lake Ulansu,2022-11-30 00:00:00,11,45,0.0686670020222663,0.06866700202226639,0.032210998237133,1.0,-20.7444366455077,1.0,"(1, 10, 52)"
train_000131,train,【Huo】Lake Ulansu,2022-12-01 00:00:00,12,45,0.107625000178813,0.10762500017881393,0.0686670020222663,1.0,-18.3278106689452,1.0,"(1, 11, 52)"
train_000132,train,【Huo】Lake Ulansu,2022-12-02 00:00:00,13,45,0.13391700387001,0.13391700387001038,0.107625000178813,1.0,-14.5164855957031,1.0,"(1, 12, 52)"
train_000133,train,【Huo】Lake Ulansu,2022-12-03 00:00:00,14,45,0.154750004410743,0.1547500044107437,0.13391700387001,1.0,-16.5333618164062,1.0,"(1, 13, 52)"
train_000134,train,【Huo】Lake Ulansu,2022-12-04 00:00:00,15,45,0.173333004117012,0.17333300411701202,0.154750004410743,1.0,-15.0165771484374,1.0,"(1, 14, 52)"
train_000135,train,【Huo】Lake Ulansu,2022-12-05 00:00:00,16,45,0.189250007271766,0.18925000727176666,0.173333004117012,1.0,-16.7074645996093,1.0,"(1, 15, 52)"
