observation_id,lake_name,lake_id,sample_datetime,latitude,longitude,total_ice_m,coordinate_source,source_workbook
xxkh_0057,【Li】Lake Xiaoxingkai,1285.0,2026-02-13 12:00:00,45.33333333333334,132.5833333333333,0.7928,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0058,【Li】Lake Xiaoxingkai,1285.0,2026-02-14 12:00:00,45.33333333333334,132.5833333333333,0.7934,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0059,【Li】Lake Xiaoxingkai,1285.0,2026-02-15 12:00:00,45.33333333333334,132.5833333333333,0.792,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0060,【Li】Lake Xiaoxingkai,1285.0,2026-02-16 12:00:00,45.33333333333334,132.5833333333333,0.7919,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0061,【Li】Lake Xiaoxingkai,1285.0,2026-02-17 12:00:00,45.33333333333334,132.5833333333333,0.7969,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0062,【Li】Lake Xiaoxingkai,1285.0,2026-02-18 12:00:00,45.33333333333334,132.5833333333333,0.8003,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0063,【Li】Lake Xiaoxingkai,1285.0,2026-02-19 12:00:00,45.33333333333334,132.5833333333333,0.8029,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0064,【Li】Lake Xiaoxingkai,1285.0,2026-02-20 12:00:00,45.33333333333334,132.5833333333333,0.8053,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0065,【Li】Lake Xiaoxingkai,1285.0,2026-02-21 12:00:00,45.33333333333334,132.5833333333333,0.8072,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0066,【Li】Lake Xiaoxingkai,1285.0,2026-02-22 12:00:00,45.33333333333334,132.5833333333333,0.808,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0067,【Li】Lake Xiaoxingkai,1285.0,2026-02-23 12:00:00,45.33333333333334,132.5833333333333,0.81,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0068,【Li】Lake Xiaoxingkai,1285.0,2026-02-24 12:00:00,45.33333333333334,132.5833333333333,0.8028,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
